2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7322]]
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7334, client-host=null, client-port=0]]
2016/08/18 15:16:23 [TcpServerConnector][ INFO] TCP server connection waiting: port [7334]
2016/08/18 15:18:15 [MissionStepProcessor][ INFO] Updating target: [Point [x=581.34, y=-908.14, z=200.0]]
2016/08/18 15:18:16 [MissionStepProcessor][ INFO] Updating target: [Point [x=546.01, y=-891.01, z=200.0]]
2016/08/18 15:18:17 [MissionStepProcessor][ INFO] Updating target: [Point [x=511.38, y=-872.5, z=200.0]]
2016/08/18 15:18:17 [MissionStepProcessor][ INFO] Updating target: [Point [x=477.5, y=-852.64, z=200.0]]
2016/08/18 15:18:18 [MissionStepProcessor][ INFO] Updating target: [Point [x=444.43, y=-831.47, z=200.0]]
2016/08/18 15:18:19 [MissionStepProcessor][ INFO] Updating target: [Point [x=412.21, y=-809.02, z=200.0]]
2016/08/18 15:18:19 [MissionStepProcessor][ INFO] Updating target: [Point [x=380.91, y=-785.32, z=200.0]]
2016/08/18 15:18:20 [MissionStepProcessor][ INFO] Updating target: [Point [x=350.55, y=-760.41, z=200.0]]
2016/08/18 15:18:20 [MissionStepProcessor][ INFO] Updating target: [Point [x=321.2, y=-734.32, z=200.0]]
2016/08/18 15:18:21 [MissionStepProcessor][ INFO] Updating target: [Point [x=292.89, y=-707.11, z=200.0]]
2016/08/18 15:18:22 [MissionStepProcessor][ INFO] Updating target: [Point [x=265.68, y=-678.8, z=200.0]]
2016/08/18 15:18:22 [MissionStepProcessor][ INFO] Updating target: [Point [x=239.59, y=-649.45, z=200.0]]
