2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7311, client-host=null, client-port=0]]
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7315, client-host=null, client-port=0]]
2016/08/18 15:16:17 [TypeUtils][ERROR] Cannot parse [] into [Integer]: For input string: ""
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7315]
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7311]
2016/08/18 15:16:17 [ConnectorHandler][ERROR] (006-socket-error) . Not recoverable. Closing. Handler [ConnectorHandler [connector=TelnetConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7411], protocol=org.lcr.aps.model.flightgear.connector.TextInputProtocol@44715ec1]]
2016/08/18 15:16:19 [TcpServerConnector][ INFO] TCP server connection created: server [localhost:7311] client [localhost:58926]
2016/08/18 15:18:12 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:13 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:13 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:14 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:15 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:15 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:16 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:17 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:17 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:18 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:19 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:19 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:20 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:21 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:21 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:22 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:22 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:23 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:24 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:24 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:25 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:26 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:26 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:27 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:28 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:28 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:29 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:30 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:31 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:31 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:32 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:32 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:33 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:34 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:35 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:18:35 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
